     R/R2    Teta(deg)    Cp    
    .53333   -91.388   -.04416
    .53333   -90.569   -.03879
    .53333   -89.751   -.03298
    .53333   -88.114   -.01480
    .53333   -86.477    .00020
    .53333   -85.658    .01240
    .53333   -85.249    .01779
    .53333   -84.840    .01761
    .53333   -84.431    .02465
    .53333   -84.218    .02671
    .53333   -84.021    .02852
    .53333   -83.808    .02713
    .53333   -83.612    .02560
    .53333   -83.202    .03271
    .53333   -82.384    .04290
    .53333   -81.565    .05460
    .53333   -80.747    .05781
    .53333   -79.928    .06696
    .53333   -79.110    .07308
    .53333   -78.291    .07672
    .53333   -76.654    .08573
    .53333   -75.017    .09085
    .53333   -73.380    .08709
    .53333   -72.562    .08262
    .53333   -71.743    .07701
    .53333   -68.427    .01579
    .53333   -66.544   -.03918
    .53333   -64.662   -.07478
    .53333   -63.025   -.08909
    .53333   -62.206   -.09122
    .53333   -61.388   -.09185
    .53333   -60.569   -.09203
    .53333   -59.750   -.09174
    .53333   -58.113   -.09348
    .53333   -56.476   -.08900
    .53333   -55.658   -.08697
    .53333   -55.249   -.08955
    .53333   -54.839   -.08964
    .53333   -54.430   -.09016
    .53333   -54.218   -.09248
    .53333   -54.021   -.09452
    .53333   -53.808   -.09470
    .53333   -53.612   -.09494
    .53333   -53.202   -.09494
    .53333   -52.384   -.09334
    .53333   -51.565   -.09814
    .53333   -50.747   -.09924
    .53333   -49.928   -.10060
    .53333   -49.110   -.10269
    .53333   -48.291   -.10495
    .53333   -46.654   -.09952
    .53333   -45.017   -.09118
    .53333   -43.380   -.08231
    .53333   -42.562   -.07712
    .53333   -41.743   -.07257
    .53333   -38.427   -.04299
    .53333   -36.544   -.02834
    .53333   -34.661   -.00687
    .53333   -33.024    .01027
    .53333   -32.206    .01776
    .53333   -31.387    .02578
    .53333   -30.569    .03470
    .53333   -29.750    .04292
    .53333   -28.113    .05329
    .53333   -26.476    .06941
    .53333   -25.657    .07426
    .53333   -25.249    .07551
    .53333   -24.839    .07496
    .53333   -24.430    .07773
    .53333   -24.217    .07830
    .53333   -24.020    .07864
    .53333   -23.808    .07611
    .53333   -23.612    .07332
    .53333   -23.202    .07822
    .53333   -22.383    .08217
    .53333   -21.565    .08264
    .53333   -20.746    .08406
    .53333   -19.928    .07877
    .53333   -19.110    .07205
    .53333   -18.291    .05849
    .53333   -16.654    .02424
    .53333   -15.017   -.02193
