Circumferential ensemble averaged static pressure coefficient and 
stator generated unsteady pressure coefficient

     R/R2    Teta(deg)    Cp        Cp'
    .59524   -72.644    .04548    .01139
    .59524   -72.001    .05334    .01163
    .59524   -71.359    .06245    .01182
    .59524   -70.716    .07303    .01157
    .59524   -70.073    .08342    .01182
    .59524   -69.430    .09450    .01135
    .59524   -68.787    .10612    .01078
    .59524   -68.144    .11795    .01048
    .59524   -67.501    .13009    .01071
    .59524   -66.858    .14221    .01079
    .59524   -66.216    .15428    .01151
    .59524   -65.573    .16614    .01226
    .59524   -64.930    .17692    .01368
    .59524   -64.287    .18631    .01461
    .59524   -63.644    .19352    .01544
    .59524   -63.001    .19746    .01608
    .59524   -62.358    .19847    .01639
    .59524   -61.716    .19745    .01584
    .59524   -61.073    .19304    .01489
    .59524   -60.430    .17519    .01493
    .59524   -59.787    .13100    .01715
    .59524   -59.144    .07160    .01818
    .59524   -58.501    .00877    .01844
    .59524   -57.858   -.03952    .01496
    .59524   -57.216   -.05799    .01275
    .59524   -56.573   -.06148    .01115
    .59524   -55.930   -.05786    .01041
    .59524   -55.287   -.05518    .01004
    .59524   -54.644   -.05058    .00884
    .59524   -54.001   -.04975    .00768
    .59524   -53.358   -.05336    .00718
    .59524   -52.716   -.06347    .00795
    .59524   -52.073   -.08186    .00762
    .59524   -51.430   -.09969    .00725
    .59524   -50.787   -.11489    .00731
    .59524   -50.144   -.12360    .00743
    .59524   -49.501   -.12443    .00649
    .59524   -48.858   -.11922    .00633
    .59524   -48.216   -.10957    .00624
    .59524   -47.573   -.09883    .00610
    .59524   -46.930   -.08929    .00576
    .59524   -46.287   -.08258    .00608
    .59524   -45.644   -.07696    .00625
    .59524   -45.001   -.07243    .00598
    .59524   -44.358   -.07057    .00593
    .59524   -43.715   -.07080    .00673
    .59524   -43.073   -.07184    .00659
    .59524   -42.430   -.07501    .00617
    .59524   -41.787   -.08087    .00630
    .59524   -41.144   -.08737    .00626
    .59524   -40.501   -.09302    .00604
    .59524   -39.858   -.09662    .00609
    .59524   -39.215   -.09830    .00633
    .59524   -38.573   -.09919    .00537
    .59524   -37.930   -.09861    .00467
    .59524   -37.287   -.09697    .00455
    .59524   -36.644   -.09521    .00513
    .59524   -36.001   -.09436    .00573
    .59524   -35.358   -.09335    .00605
    .59524   -34.715   -.09271    .00681
    .59524   -34.073   -.09236    .00630
    .59524   -33.430   -.09219    .00606
    .59524   -32.787   -.09075    .00633
    .59524   -32.144   -.08888    .00687
    .59524   -31.501   -.08662    .00667
    .59524   -30.858   -.08360    .00644
    .59524   -30.215   -.07875    .00661
    .59524   -29.573   -.07286    .00679
    .59524   -28.930   -.06680    .00665
    .59524   -28.287   -.06100    .00732
    .59524   -27.644   -.05350    .00805
    .59524   -27.001   -.04586    .00842
    .59524   -26.358   -.03931    .00842
    .59524   -25.715   -.03213    .00885
    .59524   -25.073   -.02500    .00908
    .59524   -24.430   -.01919    .00940
    .59524   -23.787   -.01376    .00939
    .59524   -23.144   -.00689    .00996
    .59524   -22.501   -.00036    .01036
    .59524   -21.858    .00584    .01077
    .59524   -21.215    .01249    .01105
    .59524   -20.572    .02038    .01161
    .59524   -19.930    .02849    .01197
    .59524   -19.287    .03744    .01186
    .59524   -18.644    .04760    .01196
    .59524   -18.001    .05829    .01190
    .59524   -17.358    .06917    .01174
    .59524   -16.715    .08043    .01168
    .59524   -16.072    .09226    .01166
    .59524   -15.430    .10464    .01176
    .59524   -14.787    .11741    .01219
    .59524   -14.144    .13160    .01233
    .59524   -13.501    .14547    .01276
    .59524   -12.858    .15958    .01275
    .59524   -12.215    .17335    .01375
    .59524   -11.572    .18457    .01431
    .59524   -10.930    .19135    .01468
    .59524   -10.287    .19427    .01500
    .59524    -9.644    .19334    .01492
    .59524    -9.001    .18382    .01640
    .59524    -8.358    .15340    .02058
    .59524    -7.715    .09063    .02512
    .59524    -7.072    .01148    .02495
    .59524    -6.430   -.05247    .02048
    .59524    -5.787   -.08671    .01443
    .59524    -5.144   -.09170    .01064
    .59524    -4.501   -.08492    .01007
    .59524    -3.858   -.08201    .01029
    .59524    -3.215   -.07713    .00956
    .59524    -2.572   -.07318    .00898
    .59524    -1.929   -.07128    .00767
    .59524    -1.287   -.07331    .00769
    .59524     -.644   -.08472    .00791
    .59524     -.001   -.09970    .00799
    .59524      .642   -.11487    .00688
    .59524     1.285   -.12342    .00602
    .59524     1.928   -.12629    .00576
    .59524     2.571   -.12375    .00566
    .59524     3.213   -.11686    .00603
    .59524     3.856   -.10813    .00557
    .59524     4.499   -.10013    .00570
    .59524     5.142   -.09251    .00617
    .59524     5.785   -.08574    .00608
    .59524     6.428   -.07974    .00525
    .59524     7.071   -.07564    .00608
    .59524     7.713   -.07215    .00628
    .59524     8.356   -.07257    .00639
    .59524     8.999   -.07690    .00568
    .59524     9.642   -.08080    .00667
    .59524    10.285   -.08768    .00616
    .59524    10.928   -.09636    .00636
    .59524    11.571   -.09998    .00646
    .59524    12.213   -.10146    .00663
    .59524    12.856   -.10238    .00598
    .59524    13.499   -.10152    .00587
    .59524    14.142   -.09825    .00623
    .59524    14.785   -.09517    .00656
    .59524    15.428   -.09244    .00627
    .59524    16.071   -.08916    .00644
    .59524    16.713   -.08606    .00670
    .59524    17.356   -.08448    .00635
    .59524    17.999   -.08196    .00568
    .59524    18.642   -.07914    .00649
    .59524    19.285   -.07700    .00708
    .59524    19.928   -.07477    .00691
    .59524    20.571   -.07014    .00692
    .59524    21.214   -.06543    .00723
    .59524    21.856   -.05996    .00690
    .59524    22.499   -.05260    .00588
    .59524    23.142   -.04391    .00630
    .59524    23.785   -.03593    .00753
    .66667   -63.989    .12527    .01567
    .66667   -63.346    .13120    .01588
    .66667   -62.703    .13727    .01594
    .66667   -62.061    .14289    .01568
    .66667   -61.418    .14914    .01531
    .66667   -60.775    .15430    .01536
    .66667   -60.132    .15808    .01506
    .66667   -59.489    .16193    .01461
    .66667   -58.846    .16689    .01441
    .66667   -58.203    .17035    .01416
    .66667   -57.561    .17390    .01424
    .66667   -56.918    .17835    .01416
    .66667   -56.275    .18390    .01397
    .66667   -55.632    .18952    .01415
    .66667   -54.989    .19538    .01411
    .66667   -54.346    .20167    .01415
    .66667   -53.703    .20838    .01435
    .66667   -53.060    .21494    .01465
    .66667   -52.418    .22109    .01521
    .66667   -51.775    .22761    .01604
    .66667   -51.132    .23416    .01695
    .66667   -50.489    .24115    .01804
    .66667   -49.846    .24830    .01865
    .66667   -49.203    .25553    .01884
    .66667   -48.560    .26257    .01916
    .66667   -47.918    .26952    .01871
    .66667   -47.275    .27469    .01783
    .66667   -46.632    .27523    .01655
    .66667   -45.989    .26645    .01570
    .66667   -45.346    .24164    .01454
    .66667   -44.703    .20333    .01430
    .66667   -44.060    .15995    .01489
    .66667   -43.418    .12208    .01486
    .66667   -42.775    .09887    .01533
    .66667   -42.132    .08608    .01535
    .66667   -41.489    .07632    .01523
    .66667   -40.846    .06904    .01525
    .66667   -40.203    .04432    .01559
    .66667   -39.560    .01666    .01232
    .66667   -38.918    .01815    .01120
    .66667   -38.275    .01911    .01146
    .66667   -37.632    .01329    .01060
    .66667   -36.989    .00400    .01019
    .66667   -36.346   -.01053    .01126
    .66667   -35.703   -.03048    .01037
    .66667   -35.060   -.04636    .00942
    .66667   -34.417   -.05741    .00996
    .66667   -33.775   -.06059    .01000
    .66667   -33.132   -.05812    .00978
    .66667   -32.489   -.05128    .01018
    .66667   -31.846   -.04388    .01108
    .66667   -31.203   -.03726    .01077
    .66667   -30.560   -.02950    .01077
    .66667   -29.917   -.02071    .01159
    .66667   -29.275   -.01334    .01190
    .66667   -28.632   -.00576    .01028
    .66667   -27.989    .00271    .00976
    .66667   -27.346    .00825    .01049
    .66667   -26.703    .01211    .00957
    .66667   -26.060    .01498    .00925
    .66667   -25.417    .01763    .00964
    .66667   -24.775    .02133    .00962
    .66667   -24.132    .02342    .00869
    .66667   -23.489    .02516    .00913
    .66667   -22.846    .02896    .00999
    .66667   -22.203    .03351    .00983
    .66667   -21.560    .03782    .00955
    .66667   -20.917    .04242    .00990
    .66667   -20.275    .04709    .00969
    .66667   -19.632    .05082    .00880
    .66667   -18.989    .05390    .00889
    .66667   -18.346    .05750    .00965
    .66667   -17.703    .06081    .01033
    .66667   -17.060    .06366    .01064
    .66667   -16.417    .06718    .01167
    .66667   -15.775    .07195    .01224
    .66667   -15.132    .07595    .01295
    .66667   -14.489    .07978    .01318
    .66667   -13.846    .08493    .01405
    .66667   -13.203    .09044    .01476
    .66667   -12.560    .09511    .01515
    .66667   -11.917    .10074    .01515
    .66667   -11.274    .10712    .01514
    .66667   -10.632    .11256    .01536
    .66667    -9.989    .11761    .01508
    .66667    -9.346    .12323    .01513
    .66667    -8.703    .12815    .01530
    .66667    -8.060    .13141    .01526
    .66667    -7.417    .13523    .01510
    .66667    -6.774    .13861    .01512
    .66667    -6.132    .14144    .01537
    .66667    -5.489    .14456    .01532
    .66667    -4.846    .14957    .01567
    .66667    -4.203    .15490    .01541
    .66667    -3.560    .16001    .01530
    .66667    -2.917    .16635    .01538
    .66667    -2.274    .17400    .01492
    .66667    -1.632    .18070    .01508
    .66667     -.989    .18762    .01568
    .66667     -.346    .19606    .01620
    .66667      .297    .20472    .01699
    .66667      .940    .21326    .01733
    .66667     1.583    .22315    .01801
    .66667     2.226    .23351    .01883
    .66667     2.868    .24336    .01919
    .66667     3.511    .25192    .01898
    .66667     4.154    .25950    .01880
    .66667     4.797    .26396    .01841
    .66667     5.440    .26061    .01744
    .66667     6.083    .24450    .01593
    .66667     6.726    .21548    .01505
    .66667     7.368    .17969    .01453
    .66667     8.011    .14386    .01486
    .66667     8.654    .11714    .01550
    .66667     9.297    .09890    .01586
    .66667     9.940    .08407    .01579
    .66667    10.583    .07000    .01535
    .66667    11.226    .04639    .01432
    .66667    11.869    .03540    .01345
    .66667    12.511    .03041    .01303
    .66667    13.154    .01328    .01188
    .66667    13.797    .00497    .01165
    .66667    14.440   -.01172    .01115
    .66667    15.083   -.02592    .01161
    .66667    15.726   -.04611    .01118
    .66667    16.369   -.05737    .00972
    .66667    17.011   -.06112    .01029
    .66667    17.654   -.06043    .00980
    .66667    18.297   -.05749    .00923
    .66667    18.940   -.05210    .00963
    .66667    19.583   -.04427    .01051
    .66667    20.226   -.03722    .01023
    .66667    20.869   -.02741    .00993
    .66667    21.511   -.01408    .01084
    .66667    22.154   -.00340    .01146
    .66667    22.797    .00338    .01124
    .66667    23.440    .01269    .01148
    .66667    24.083    .01998    .01162
    .66667    24.726    .02300    .01066
