Circumferential ensemble averaged static pressure coefficient and 
stator generated unsteady pressure coefficient

     R/R2    Teta(deg)    Cp        Cp'
    .78571    41.711    .06832    .02512
    .78571    42.353    .08124    .02510
    .78571    42.996    .09272    .02502
    .78571    43.639    .10265    .02485
    .78571    44.282    .11309    .02502
    .78571    44.925    .12314    .02552
    .78571    45.568    .13286    .02560
    .78571    46.211    .14217    .02417
    .78571    46.853    .14977    .02422
    .78571    47.496    .15413    .02412
    .78571    48.139    .15659    .02338
    .78571    48.782    .15798    .02346
    .78571    49.425    .15996    .02408
    .78571    50.068    .16231    .02374
    .78571    50.711    .16564    .02328
    .78571    51.353    .17007    .02354
    .78571    51.996    .17547    .02574
    .78571    52.639    .18126    .02582
    .78571    53.282    .18704    .02674
    .78571    53.925    .19217    .02731
    .78571    54.568    .19776    .02810
    .78571    55.211    .20324    .02889
    .78571    55.853    .20927    .02932
    .78571    56.496    .21409    .03073
    .78571    57.139    .21993    .03227
    .78571    57.782    .22590    .03365
    .78571    58.425    .23263    .03452
    .78571    59.068    .23993    .03559
    .78571    59.711    .24871    .03552
    .78571    60.353    .25822    .03513
    .78571    60.996    .26862    .03482
    .83333   -32.462    .42074    .03786
    .83333   -31.820    .43082    .03807
    .83333   -31.177    .44137    .03755
    .83333   -30.534    .45088    .03675
    .83333   -29.891    .46031    .03695
    .83333   -29.248    .46964    .03687
    .83333   -28.605    .47774    .03672
    .83333   -27.962    .48516    .03652
    .83333   -27.319    .49311    .03661
    .83333   -26.677    .50077    .03595
    .83333   -26.034    .50842    .03496
    .83333   -25.391    .51586    .03398
    .83333   -24.748    .52367    .03338
    .83333   -24.105    .53106    .03261
    .83333   -23.462    .53814    .03143
    .83333   -22.819    .54512    .03103
    .83333   -22.177    .55148    .03193
    .83333   -21.534    .55704    .03301
    .83333   -20.891    .56246    .03363
    .83333   -20.248    .56729    .03464
    .83333   -19.605    .57201    .03571
    .83333   -18.962    .57617    .03660
    .83333   -18.319    .57914    .03687
    .83333   -17.677    .58032    .03689
    .83333   -17.034    .57910    .03678
    .83333   -16.391    .57481    .03775
    .83333   -15.748    .56229    .04085
    .83333   -15.105    .53046    .04560
    .83333   -14.462    .47545    .04905
    .83333   -13.819    .40971    .04749
    .83333   -13.177    .34985    .04313
    .83333   -12.534    .30934    .03870
    .83333   -11.891    .28565    .03717
    .83333   -11.248    .27386    .03733
    .83333   -10.605    .27028    .03615
    .83333    -9.962    .26352    .03221
    .83333    -9.319    .25383    .03092
    .83333    -8.677    .24602    .03034
    .83333    -8.034    .23541    .02763
    .83333    -7.391    .21963    .02591
    .83333    -6.748    .20565    .02651
    .83333    -6.105    .19230    .02604
    .83333    -5.462    .17726    .02495
    .83333    -4.819    .16471    .02551
    .83333    -4.176    .15787    .02624
    .83333    -3.534    .15932    .02666
    .83333    -2.891    .16698    .02642
    .83333    -2.248    .17762    .02639
    .83333    -1.605    .18839    .02648
    .83333     -.962    .19830    .02696
    .83333     -.319    .20799    .02776
    .83333      .324    .21527    .02789
    .83333      .966    .22308    .02720
    .83333     1.609    .23005    .02653
    .83333     2.252    .23559    .02663
    .83333     2.895    .24070    .02647
    .83333     3.538    .24294    .02699
    .83333     4.181    .24551    .02705
    .83333     4.824    .24807    .02721
    .83333     5.466    .25090    .02672
    .83333     6.109    .25487    .02557
    .83333     6.752    .26021    .02458
    .83333     7.395    .26700    .02429
    .83333     8.038    .27397    .02439
    .83333     8.681    .28212    .02474
    .83333     9.324    .29069    .02534
    .83333     9.966    .29919    .02641
    .83333    10.609    .30701    .02736
    .83333    11.252    .31415    .02846
    .83333    11.895    .32135    .02954
    .83333    12.538    .32858    .03095
    .83333    13.181    .33543    .03216
    .83333    13.824    .34258    .03328
    .83333    14.467    .35094    .03411
    .83333    15.109    .35978    .03517
    .83333    15.752    .36937    .03582
    .83333    16.395    .37979    .03622
    .83333    17.038    .39069    .03672
    .83333    17.681    .40191    .03737
    .83333    18.324    .41305    .03756
    .83333    18.967    .42386    .03776
    .83333    19.609    .43465    .03775
    .83333    20.252    .44472    .03750
    .83333    20.895    .45397    .03738
    .83333    21.538    .46314    .03698
    .83333    22.181    .47150    .03690
    .83333    22.824    .47949    .03660
    .83333    23.467    .48783    .03651
    .83333    24.109    .49586    .03634
    .83333    24.752    .50431    .03597
    .83333    25.395    .51218    .03499
    .83333    26.038    .52020    .03385
    .83333    26.681    .52787    .03221
    .83333    27.324    .53614    .03106
    .83333    27.967    .54396    .03040
    .83333    28.609    .55114    .03007
    .83333    29.252    .55789    .03008
    .83333    29.895    .56403    .03093
    .83333    30.538    .56969    .03263
    .83333    31.181    .57448    .03387
    .83333    31.824    .57917    .03507
    .83333    32.467    .58376    .03597
    .83333    33.109    .58796    .03675
    .83333    33.752    .59143    .03736
    .83333    34.395    .59386    .03808
    .83333    35.038    .59582    .03829
    .83333    35.681    .59572    .03834
    .83333    36.324    .59257    .03904
    .83333    36.967    .58352    .04150
    .83333    37.610    .56156    .04598
    .83333    38.252    .51608    .04990
    .83333    38.895    .44985    .04912
    .83333    39.538    .37974    .04265
    .83333    40.181    .32285    .03491
    .83333    40.824    .28724    .03202
    .83333    41.467    .26537    .03282
    .83333    42.110    .25586    .03482
    .83333    42.752    .24846    .03319
    .83333    43.395    .23800    .03014
    .83333    44.038    .22800    .02942
    .83333    44.681    .21560    .02755
    .83333    45.324    .19790    .02483
    .83333    45.967    .18117    .02502
    .83333    46.610    .16599    .02561
    .83333    47.252    .14874    .02551
    .83333    47.895    .13366    .02631
    .83333    48.538    .12913    .02672
    .83333    49.181    .13389    .02663
    .83333    49.824    .14173    .02651
    .83333    50.467    .15106    .02667
    .83333    51.110    .16128    .02692
    .83333    51.752    .17284    .02671
    .83333    52.395    .18312    .02629
    .83333    53.038    .19433    .02632
    .83333    53.681    .20546    .02514
    .83333    54.324    .21534    .02535
    .83333    54.967    .22288    .02632
    .83333    55.610    .22942    .02666
    .83333    56.253    .23430    .02747
    .83333    56.895    .23753    .02763
    .83333    57.538    .24036    .02740
    .83333    58.181    .24423    .02653
    .83333    58.824    .24909    .02609
    .83333    59.467    .25476    .02638
    .83333    60.110    .26120    .02665
    .83333    60.753    .26892    .02741
    .83333    61.395    .27712    .02846
    .83333    62.038    .28568    .03026
    .83333    62.681    .29378    .03136
    .83333    63.324    .30143    .03269
    .83333    63.967    .30847    .03416
    .83333    64.610    .31594    .03520
    .83333    65.253    .32308    .03630
    .83333    65.895    .33028    .03723
    .83333    66.538    .33780    .03819
    .83333    67.181    .34598    .03890
    .83333    67.824    .35502    .03971
    .83333    68.467    .36460    .04049
    .83333    69.110    .37482    .04123
    .83333    69.753    .38592    .04190
    .88095   -23.955    .53654    .04433
    .88095   -23.312    .54381    .04492
    .88095   -22.669    .55212    .04501
    .88095   -22.026    .55992    .04483
    .88095   -21.383    .56677    .04474
    .88095   -20.740    .57257    .04484
    .88095   -20.098    .57765    .04443
    .88095   -19.455    .58247    .04416
    .88095   -18.812    .58700    .04330
    .88095   -18.169    .59168    .04243
    .88095   -17.526    .59623    .04127
    .88095   -16.883    .60112    .04048
    .88095   -16.240    .60620    .03994
    .88095   -15.598    .61119    .03911
    .88095   -14.955    .61602    .03879
    .88095   -14.312    .62060    .03867
    .88095   -13.669    .62470    .03894
    .88095   -13.026    .62833    .03993
    .88095   -12.383    .63067    .04065
    .88095   -11.740    .63310    .04171
    .88095   -11.098    .63518    .04229
    .88095   -10.455    .63694    .04288
    .88095    -9.812    .63881    .04353
    .88095    -9.169    .63952    .04385
    .88095    -8.526    .63931    .04395
    .88095    -7.883    .63827    .04414
    .88095    -7.240    .63540    .04583
    .88095    -6.598    .62514    .04963
    .88095    -5.955    .59715    .05719
    .88095    -5.312    .54427    .06350
    .88095    -4.669    .47266    .06441
    .88095    -4.026    .39853    .05793
    .88095    -3.383    .34225    .04986
    .88095    -2.740    .31391    .04656
    .88095    -2.098    .30508    .04581
    .88095    -1.455    .30423    .04465
    .88095     -.812    .30655    .04333
    .88095     -.169    .30582    .04014
    .88095      .474    .29661    .03675
    .88095     1.117    .28464    .03449
    .88095     1.760    .27347    .03249
    .88095     2.403    .26083    .02957
    .88095     3.045    .24442    .02803
    .88095     3.688    .22957    .02817
    .88095     4.331    .22198    .02867
    .88095     4.974    .22114    .02889
    .88095     5.617    .22649    .02914
    .88095     6.260    .23534    .02955
    .88095     6.903    .24732    .03002
    .88095     7.545    .26134    .03015
    .88095     8.188    .27484    .02963
    .88095     8.831    .28719    .02917
    .88095     9.474    .29803    .02879
    .88095    10.117    .30828    .02829
    .88095    10.760    .31822    .02813
    .88095    11.403    .32693    .02858
    .88095    12.045    .33448    .02911
    .88095    12.688    .34166    .02903
    .88095    13.331    .34771    .02896
    .88095    13.974    .35360    .02812
    .88095    14.617    .36103    .02661
    .88095    15.260    .37026    .02580
    .88095    15.903    .38031    .02529
    .88095    16.545    .39091    .02596
    .88095    17.188    .40262    .02623
    .88095    17.831    .41441    .02666
    .88095    18.474    .42582    .02744
    .88095    19.117    .43661    .02840
    .88095    19.760    .44710    .02929
    .88095    20.403    .45630    .03110
    .88095    21.045    .46503    .03251
    .88095    21.688    .47333    .03376
    .88095    22.331    .48061    .03492
    .88095    22.974    .48757    .03576
    .88095    23.617    .49432    .03685
    .88095    24.260    .50126    .03803
    .88095    24.903    .50824    .03918
    .88095    25.546    .51538    .04087
    .88095    26.188    .52332    .04217
    .88095    26.831    .53134    .04290
    .88095    27.474    .53951    .04360
    .88095    28.117    .54822    .04401
    .88095    28.760    .55679    .04395
    .88095    29.403    .56486    .04341
    .88095    30.046    .57169    .04365
    .88095    30.688    .57839    .04350
    .88095    31.331    .58456    .04318
    .88095    31.974    .58993    .04258
    .88095    32.617    .59570    .04210
    .88095    33.260    .60139    .04154
    .88095    33.903    .60708    .04083
    .88095    34.546    .61251    .03990
    .88095    35.188    .61809    .03945
    .88095    35.831    .62299    .03905
    .88095    36.474    .62807    .03869
    .88095    37.117    .63323    .03873
    .88095    37.760    .63750    .03927
    .88095    38.403    .64127    .03984
    .88095    39.046    .64424    .04056
    .88095    39.688    .64649    .04127
    .88095    40.331    .64773    .04181
    .88095    40.974    .64911    .04213
    .88095    41.617    .65093    .04240
    .88095    42.260    .65269    .04227
    .88095    42.903    .65341    .04283
    .88095    43.546    .65398    .04286
    .88095    44.189    .65456    .04291
    .88095    44.831    .65464    .04281
    .88095    45.474    .65353    .04386
    .88095    46.117    .64620    .04666
    .88095    46.760    .62283    .05337
    .88095    47.403    .57083    .06115
    .88095    48.046    .49491    .06253
    .88095    48.689    .41443    .05562
    .88095    49.331    .35321    .04660
    .88095    49.974    .31984    .04370
    .88095    50.617    .30348    .04299
    .88095    51.260    .29686    .04293
    .88095    51.903    .29874    .04214
    .88095    52.546    .29813    .03743
    .88095    53.189    .28789    .03394
    .88095    53.831    .27414    .03153
    .88095    54.474    .26258    .02952
    .88095    55.117    .24905    .02687
    .88095    55.760    .23044    .02620
    .88095    56.403    .21652    .02734
    .88095    57.046    .21060    .02868
    .88095    57.689    .21201    .02998
    .88095    58.331    .22077    .03089
    .88095    58.974    .23430    .03100
    .88095    59.617    .25043    .03072
    .88095    60.260    .26587    .03021
    .88095    60.903    .28049    .02958
    .88095    61.546    .29316    .03066
    .88095    62.189    .30355    .03085
    .88095    62.831    .31496    .02994
    .88095    63.474    .32448    .02977
    .88095    64.117    .33276    .03038
    .88095    64.760    .34075    .03047
    .88095    65.403    .34744    .03121
    .88095    66.046    .35231    .03093
    .88095    66.689    .35812    .02973
    .88095    67.332    .36657    .02931
    .88095    67.974    .37679    .02921
    .88095    68.617    .38701    .02894
    .88095    69.260    .39801    .02914
    .88095    69.903    .40919    .03001
    .88095    70.546    .42143    .03097
    .88095    71.189    .43269    .03235
    .88095    71.832    .44294    .03389
    .88095    72.474    .45247    .03546
    .88095    73.117    .46088    .03640
    .88095    73.760    .46871    .03737
    .88095    74.403    .47624    .03830
    .88095    75.046    .48275    .03927
    .88095    75.689    .48898    .04040
    .88095    76.332    .49562    .04152
    .88095    76.974    .50194    .04292
    .88095    77.617    .50850    .04454
    .88095    78.260    .51645    .04580
    .92857   -15.750    .56250    .05207
    .92857   -15.108    .56904    .05191
    .92857   -14.466    .57689    .05154
    .92857   -13.824    .58508    .05165
    .92857   -13.182    .59256    .05154
    .92857   -12.540    .59938    .05106
    .92857   -11.898    .60534    .05078
    .92857   -11.256    .61028    .05077
    .92857   -10.614    .61416    .05018
    .92857    -9.972    .61730    .04928
    .92857    -9.330    .61982    .04849
    .92857    -8.688    .62180    .04783
    .92857    -8.046    .62394    .04678
    .92857    -7.404    .62559    .04563
    .92857    -6.762    .62722    .04456
    .92857    -6.120    .62916    .04370
    .92857    -5.478    .63095    .04266
    .92857    -4.836    .63263    .04150
    .92857    -4.194    .63378    .04039
    .92857    -3.552    .63512    .03942
    .92857    -2.910    .63631    .03886
    .92857    -2.268    .63700    .03852
    .92857    -1.626    .63686    .03885
    .92857     -.984    .63707    .03955
    .92857     -.342    .63730    .04010
    .92857      .300    .63608    .04110
    .92857      .942    .63372    .04246
    .92857     1.584    .63012    .04367
    .92857     2.226    .62485    .04443
    .92857     2.868    .61474    .04372
    .92857     3.510    .58793    .04142
    .92857     4.152    .53018    .03899
    .92857     4.794    .45691    .03978
    .92857     5.436    .38809    .04182
    .92857     6.078    .34312    .04547
    .92857     6.720    .32635    .04678
    .92857     7.362    .30390    .04637
    .92857     8.004    .29467    .04481
    .92857     8.646    .30022    .04418
    .92857     9.288    .29517    .04191
    .92857     9.930    .30034    .04167
    .92857    10.572    .28787    .04283
    .92857    11.214    .28508    .04047
    .92857    11.856    .28007    .04119
    .92857    12.498    .27777    .03943
    .92857    13.140    .28364    .03805
    .92857    13.782    .29472    .03601
    .92857    14.424    .30985    .03573
    .92857    15.066    .32253    .03575
    .92857    15.708    .33729    .03478
    .92857    16.350    .35467    .03473
    .92857    16.992    .37319    .03459
    .92857    17.634    .39379    .03507
    .92857    18.276    .41559    .03552
    .92857    18.918    .43692    .03556
    .92857    19.560    .45639    .03588
    .92857    20.202    .47425    .03557
    .92857    20.844    .49059    .03433
    .92857    21.486    .50539    .03290
    .92857    22.128    .51780    .03126
    .92857    22.770    .52608    .02955
    .92857    23.412    .53141    .02917
    .92857    24.054    .53575    .03046
    .92857    24.696    .53872    .03192
    .92857    25.338    .53896    .03382
    .92857    25.980    .53926    .03539
    .92857    26.622    .53916    .03698
    .92857    27.264    .53964    .03870
    .92857    27.906    .54052    .04030
    .92857    28.548    .54065    .04195
    .92857    29.190    .54105    .04336
    .92857    29.832    .54222    .04483
    .92857    30.474    .54384    .04599
    .92857    31.116    .54513    .04679
    .92857    31.758    .54661    .04769
    .92857    32.400    .54970    .04848
    .92857    33.042    .55315    .04916
    .92857    33.684    .55709    .04981
    .92857    34.326    .56162    .05050
    .92857    34.968    .56733    .05067
    .92857    35.610    .57356    .05069
    .92857    36.252    .58024    .05087
    .92857    36.894    .58674    .05109
    .92857    37.536    .59393    .05063
    .92857    38.178    .60084    .05083
    .92857    38.820    .60715    .05099
    .92857    39.462    .61288    .05070
    .92857    40.104    .61749    .05044
    .92857    40.746    .62242    .04957
    .92857    41.388    .62680    .04879
    .92857    42.030    .62988    .04788
    .92857    42.672    .63264    .04680
    .92857    43.314    .63619    .04547
    .92857    43.956    .63902    .04445
    .92857    44.598    .64133    .04350
    .92857    45.240    .64368    .04236
    .92857    45.882    .64652    .04152
    .92857    46.524    .64894    .04081
    .92857    47.166    .65072    .03986
    .92857    47.808    .65196    .03888
    .92857    48.450    .65276    .03819
    .92857    49.092    .65299    .03759
    .92857    49.734    .65245    .03766
    .92857    50.376    .65153    .03793
    .92857    51.018    .65077    .03839
    .92857    51.660    .64878    .03934
    .92857    52.302    .64683    .04063
    .92857    52.944    .64425    .04106
    .92857    53.586    .64060    .04214
    .92857    54.228    .63586    .04253
    .92857    54.870    .62824    .04204
    .92857    55.512    .61018    .03987
    .92857    56.154    .56379    .03609
    .92857    56.796    .48892    .03759
    .92857    57.438    .41174    .04219
    .92857    58.080    .35180    .04549
    .92857    58.722    .31928    .04700
    .92857    59.364    .29842    .04653
    .92857    60.006    .29729    .04489
    .92857    60.648    .29619    .04376
    .92857    61.290    .29611    .04104
    .92857    61.932    .29670    .04211
    .92857    62.574    .28654    .04346
    .92857    63.216    .27959    .04171
    .92857    63.858    .27494    .04156
    .92857    64.500    .27227    .04098
    .92857    65.142    .27669    .03916
    .92857    65.784    .28808    .03712
    .92857    66.426    .30377    .03703
    .92857    67.068    .31982    .03732
    .92857    67.710    .33774    .03701
    .92857    68.352    .35495    .03713
    .92857    68.994    .37451    .03733
    .92857    69.636    .39675    .03736
    .92857    70.278    .41882    .03699
    .92857    70.920    .43899    .03707
    .92857    71.562    .45971    .03703
    .92857    72.204    .47811    .03655
    .92857    72.846    .49441    .03547
    .92857    73.488    .50941    .03477
    .92857    74.130    .52170    .03423
    .92857    74.772    .52814    .03412
    .92857    75.414    .53212    .03463
    .92857    76.056    .53484    .03588
    .92857    76.698    .53598    .03732
    .92857    77.340    .53546    .03900
    .92857    77.982    .53431    .04072
    .92857    78.624    .53299    .04312
    .92857    79.266    .53290    .04483
    .92857    79.908    .53291    .04640
    .92857    80.550    .53234    .04824
    .92857    81.192    .53230    .04937
    .92857    81.834    .53334    .05038
    .92857    82.476    .53488    .05122
    .92857    83.118    .53611    .05187
    .92857    83.760    .53808    .05244
    .92857    84.402    .54044    .05326
    .92857    85.044    .54338    .05395
    .92857    85.687    .54704    .05426
    .92857    86.328    .55212    .05451
    .97619    -7.892    .61680    .05491
    .97619    -7.250    .61845    .05411
    .97619    -6.608    .62100    .05316
    .97619    -5.966    .62489    .05204
    .97619    -5.324    .62943    .05099
    .97619    -4.682    .63376    .04979
    .97619    -4.040    .63773    .04852
    .97619    -3.398    .64176    .04743
    .97619    -2.756    .64504    .04660
    .97619    -2.114    .64708    .04572
    .97619    -1.472    .64784    .04474
    .97619     -.830    .64728    .04392
    .97619     -.188    .64609    .04328
    .97619      .454    .64367    .04219
    .97619     1.096    .64026    .04175
    .97619     1.738    .63625    .04212
    .97619     2.380    .63231    .04287
    .97619     3.022    .62870    .04388
    .97619     3.664    .62530    .04470
    .97619     4.306    .62297    .04554
    .97619     4.948    .62192    .04607
    .97619     5.590    .62103    .04648
    .97619     6.232    .61986    .04776
    .97619     6.874    .61781    .04970
    .97619     7.516    .61587    .05192
    .97619     8.158    .61353    .05434
    .97619     8.800    .60995    .05665
    .97619     9.442    .60577    .05762
    .97619    10.084    .60082    .05784
    .97619    10.726    .59527    .05761
    .97619    11.368    .58722    .05822
    .97619    12.010    .57707    .06062
    .97619    12.652    .55823    .06711
    .97619    13.294    .52018    .07528
    .97619    13.936    .44968    .07550
    .97619    14.578    .37168    .06744
    .97619    15.220    .31038    .06318
    .97619    15.862    .29045    .05953
    .97619    16.504    .28795    .05873
    .97619    17.146    .29612    .05263
    .97619    17.788    .31384    .05670
    .97619    18.430    .32575    .07552
    .97619    19.072    .38294    .06548
    .97619    19.714    .44070    .05434
    .97619    20.356    .47299    .04278
    .97619    20.998    .49388    .04131
    .97619    21.640    .49936    .05303
    .97619    22.282    .52103    .05702
    .97619    22.924    .56369    .04789
    .97619    23.566    .59976    .03581
    .97619    24.208    .61752    .02926
    .97619    24.850    .62082    .02829
    .97619    25.492    .61746    .03080
    .97619    26.134    .61061    .03400
    .97619    26.776    .60284    .03684
    .97619    27.418    .59682    .03944
    .97619    28.060    .59321    .04142
    .97619    28.702    .59146    .04246
    .97619    29.344    .59058    .04267
    .97619    29.986    .58919    .04331
    .97619    30.628    .58769    .04432
    .97619    31.270    .58504    .04570
    .97619    31.912    .58149    .04662
    .97619    32.554    .57780    .04712
    .97619    33.196    .57510    .04791
    .97619    33.838    .57260    .04826
    .97619    34.480    .57208    .04787
    .97619    35.122    .57399    .04710
    .97619    35.764    .57810    .04748
    .97619    36.406    .58365    .04826
    .97619    37.048    .58884    .04931
    .97619    37.690    .59397    .04990
    .97619    38.332    .60008    .05069
    .97619    38.974    .60666    .05202
    .97619    39.616    .61269    .05362
    .97619    40.258    .61733    .05491
    .97619    40.900    .62104    .05596
    .97619    41.542    .62372    .05675
    .97619    42.184    .62561    .05702
    .97619    42.826    .62652    .05702
    .97619    43.468    .62767    .05673
    .97619    44.110    .62935    .05612
    .97619    44.752    .63181    .05546
    .97619    45.394    .63512    .05518
    .97619    46.036    .63893    .05397
    .97619    46.678    .64308    .05227
    .97619    47.320    .64723    .05018
    .97619    47.962    .65106    .04801
    .97619    48.604    .65400    .04583
    .97619    49.246    .65640    .04328
    .97619    49.888    .65796    .04115
    .97619    50.530    .65782    .03927
    .97619    51.172    .65617    .03803
    .97619    51.814    .65390    .03768
    .97619    52.456    .65128    .03776
    .97619    53.098    .64787    .03846
    .97619    53.740    .64396    .03984
    .97619    54.382    .64051    .04160
    .97619    55.024    .63767    .04324
    .97619    55.666    .63532    .04462
    .97619    56.308    .63294    .04590
    .97619    56.950    .63136    .04732
    .97619    57.592    .62965    .04900
    .97619    58.234    .62755    .05120
    .97619    58.876    .62485    .05341
    .97619    59.518    .62218    .05562
    .97619    60.160    .61949    .05634
    .97619    60.802    .61606    .05635
    .97619    61.444    .61207    .05512
    .97619    62.086    .60737    .05354
    .97619    62.728    .60134    .05241
    .97619    63.370    .59275    .05356
    .97619    64.012    .57850    .05986
    .97619    64.654    .55585    .07354
    .97619    65.296    .52475    .08543
    .97619    65.938    .47024    .08137
    .97619    66.580    .39391    .06665
    .97619    67.222    .32339    .06270
    .97619    67.864    .28950    .06168
    .97619    68.506    .28448    .05980
    .97619    69.148    .30358    .06991
    .97619    69.790    .31119    .08518
    .97619    70.432    .32681    .08815
    .97619    71.074    .38536    .07334
    .97619    71.716    .42812    .05738
    .97619    72.358    .46130    .04754
    .97619    73.000    .49184    .05217
    .97619    73.642    .50357    .06150
    .97619    74.284    .51815    .06173
    .97619    74.926    .55395    .04911
    .97619    75.568    .58985    .03528
    .97619    76.210    .60941    .03024
    .97619    76.852    .61473    .03262
    .97619    77.494    .61333    .03727
    .97619    78.136    .60799    .04110
    .97619    78.778    .60149    .04373
    .97619    79.420    .59494    .04611
    .97619    80.062    .58982    .04790
    .97619    80.704    .58730    .04913
    .97619    81.346    .58540    .05026
    .97619    81.988    .58342    .05153
    .97619    82.630    .58147    .05334
    .97619    83.272    .57965    .05419
    .97619    83.914    .57636    .05454
    .97619    84.556    .57229    .05437
    .97619    85.198    .56990    .05354
    .97619    85.840    .56907    .05197
    .97619    86.482    .56956    .05110
    .97619    87.125    .57162    .05094
    .97619    87.767    .57615    .05093
    .97619    88.409    .58170    .05158
    .97619    89.051    .58745    .05233
    .97619    89.693    .59362    .05320
    .97619    90.335    .59966    .05478
    .97619    90.977    .60609    .05620
    .97619    91.619    .61252    .05746
    .97619    92.261    .61778    .05871
    .97619    92.903    .62164    .06004
    .97619    93.545    .62418    .06029
    .97619    94.187    .62599    .06064
   1.01905     1.800    .63990    .04131
   1.01905     2.442    .63668    .04176
   1.01905     3.084    .63277    .04228
   1.01905     3.726    .62960    .04349
   1.01905     4.368    .62580    .04473
   1.01905     5.010    .62150    .04640
   1.01905     5.652    .61758    .04773
   1.01905     6.294    .61463    .04880
   1.01905     6.936    .61193    .04964
   1.01905     7.578    .60891    .05046
   1.01905     8.220    .60549    .05156
   1.01905     8.862    .60192    .05287
   1.01905     9.504    .59803    .05463
   1.01905    10.146    .59343    .05625
   1.01905    10.788    .58747    .05771
   1.01905    11.430    .58192    .05871
   1.01905    12.072    .57655    .05994
   1.01905    12.714    .57061    .06068
   1.01905    13.356    .56328    .06078
   1.01905    13.998    .55441    .05997
   1.01905    14.640    .54360    .06047
   1.01905    15.282    .52969    .06120
   1.01905    15.924    .51204    .06230
   1.01905    16.566    .49176    .06279
   1.01905    17.208    .46711    .06363
   1.01905    17.850    .43426    .06430
   1.01905    18.492    .38964    .06552
   1.01905    19.134    .33414    .06515
   1.01905    19.776    .29779    .05681
   1.01905    20.418    .32342    .05083
   1.01905    21.060    .38495    .05007
   1.01905    21.702    .44423    .04925
   1.01905    22.344    .49707    .04891
   1.01905    22.986    .54572    .04844
   1.01905    23.628    .59130    .04709
   1.01905    24.270    .62972    .04316
   1.01905    24.912    .65554    .03783
   1.01905    25.554    .66696    .03326
   1.01905    26.196    .66795    .03036
   1.01905    26.838    .66154    .02860
   1.01905    27.480    .65092    .02958
   1.01905    28.122    .63814    .03302
   1.01905    28.764    .62693    .03734
   1.01905    29.406    .61711    .04155
   1.01905    30.048    .61037    .04542
   1.01905    30.690    .60589    .04845
   1.01905    31.332    .60336    .05102
   1.01905    31.974    .60220    .05343
   1.01905    32.616    .60157    .05530
   1.01905    33.258    .59959    .05726
   1.01905    33.900    .59590    .05912
   1.01905    34.542    .59050    .06090
   1.01905    35.184    .58248    .06183
   1.01905    35.826    .57383    .06193
   1.01905    36.468    .56840    .06131
   1.01905    37.110    .56682    .06028
   1.01905    37.752    .56806    .05956
   1.01905    38.394    .57159    .05874
   1.01905    39.036    .57779    .05774
   1.01905    39.678    .58624    .05720
   1.01905    40.320    .59655    .05660
   1.01905    40.962    .60664    .05687
   1.01905    41.604    .61552    .05709
   1.01905    42.246    .62298    .05740
   1.01905    42.888    .62831    .05796
   1.01905    43.530    .63115    .05826
   1.01905    44.172    .63168    .05838
   1.01905    44.814    .63130    .05758
   1.01905    45.456    .63071    .05644
   1.01905    46.098    .62988    .05472
   1.01905    46.740    .62941    .05281
   1.01905    47.382    .63057    .05076
   1.01905    48.024    .63310    .04893
   1.01905    48.666    .63666    .04723
   1.01905    49.308    .64108    .04556
   1.01905    49.950    .64585    .04386
   1.01905    50.592    .65071    .04233
   1.01905    51.234    .65483    .04093
   1.01905    51.876    .65707    .03998
   1.01905    52.518    .65735    .03914
   1.01905    53.160    .65644    .03876
   1.01905    53.802    .65429    .03854
   1.01905    54.444    .65033    .03871
   1.01905    55.086    .64587    .03946
   1.01905    55.728    .64152    .04029
   1.01905    56.370    .63685    .04176
   1.01905    57.012    .63299    .04356
   1.01905    57.654    .62962    .04484
   1.01905    58.296    .62694    .04608
   1.01905    58.938    .62451    .04682
   1.01905    59.580    .62174    .04761
   1.01905    60.222    .61856    .04854
   1.01905    60.864    .61435    .04981
   1.01905    61.506    .60869    .05090
   1.01905    62.148    .60190    .05229
   1.01905    62.790    .59467    .05375
   1.01905    63.432    .58678    .05517
   1.01905    64.074    .57905    .05610
   1.01905    64.716    .57202    .05652
   1.01905    65.359    .56473    .05631
   1.01905    66.001    .55632    .05560
   1.01905    66.643    .54570    .05505
   1.01905    67.285    .53240    .05532
   1.01905    67.927    .51590    .05645
   1.01905    68.569    .49524    .05712
   1.01905    69.211    .46872    .05816
   1.01905    69.853    .43344    .05936
   1.01905    70.495    .38677    .06116
   1.01905    71.137    .32987    .06086
   1.01905    71.779    .29662    .05295
   1.01905    72.421    .32609    .04977
   1.01905    73.063    .39022    .04995
   1.01905    73.705    .45107    .04974
   1.01905    74.347    .50301    .04991
   1.01905    74.989    .54945    .04984
   1.01905    75.631    .59363    .04920
   1.01905    76.273    .63245    .04569
   1.01905    76.915    .65871    .04030
   1.01905    77.557    .67048    .03519
   1.01905    78.199    .67073    .03255
   1.01905    78.841    .66302    .03366
   1.01905    79.483    .64997    .03713
   1.01905    80.125    .63607    .04151
   1.01905    80.767    .62279    .04650
   1.01905    81.409    .61198    .05075
   1.01905    82.051    .60437    .05352
   1.01905    82.693    .59894    .05660
   1.01905    83.335    .59629    .05878
   1.01905    83.977    .59593    .06029
   1.01905    84.619    .59451    .06197
   1.01905    85.261    .59207    .06339
   1.01905    85.903    .58864    .06421
   1.01905    86.545    .58314    .06523
   1.01905    87.187    .57471    .06602
