     R/R2    Teta(deg)    Cp    
    .53333   -90.801   -.03550
    .53333   -90.392   -.03107
    .53333   -89.983   -.03258
    .53333   -89.573   -.02694
    .53333   -89.360   -.02563
    .53333   -89.164   -.02425
    .53333   -88.951   -.02404
    .53333   -88.755   -.02394
    .53333   -88.345   -.01647
    .53333   -87.527   -.00743
    .53333   -86.708    .00364
    .53333   -85.890    .01050
    .53333   -85.071    .01827
    .53333   -84.253    .03006
    .53333   -83.434    .04082
    .53333   -81.797    .05608
    .53333   -80.160    .06919
    .53333   -78.523    .07702
    .53333   -77.705    .08000
    .53333   -76.886    .08126
    .53333   -73.570    .08930
    .53333   -71.687    .07758
    .53333   -69.805    .04444
    .53333   -68.168    .00161
    .53333   -67.349   -.02086
    .53333   -66.531   -.04278
    .53333   -65.712   -.06066
    .53333   -64.893   -.07397
    .53333   -63.256   -.08965
    .53333   -61.619   -.09263
    .53333   -60.801   -.09260
    .53333   -60.392   -.09323
    .53333   -59.982   -.09377
    .53333   -59.573   -.09175
    .53333   -59.360   -.09602
    .53333   -59.164   -.09987
    .53333   -58.951   -.09847
    .53333   -58.755   -.09741
    .53333   -58.345   -.09505
    .53333   -57.527   -.09284
    .53333   -56.708   -.09081
    .53333   -55.889   -.09001
    .53333   -55.071   -.08648
    .53333   -54.252   -.08688
    .53333   -53.434   -.08964
    .53333   -51.797   -.09544
    .53333   -50.160   -.09446
    .53333   -48.523   -.09672
    .53333   -47.705   -.09903
    .53333   -46.886   -.09980
    .53333   -43.570   -.07603
    .53333   -41.687   -.06585
    .53333   -39.804   -.05358
    .53333   -38.167   -.04237
    .53333   -37.349   -.03521
    .53333   -36.530   -.02779
    .53333   -35.712   -.01886
    .53333   -34.893   -.00880
    .53333   -33.256    .00439
    .53333   -31.619    .02518
    .53333   -30.800    .03402
    .53333   -30.391    .03722
    .53333   -29.982    .03663
    .53333   -29.573    .04371
    .53333   -29.360    .04466
    .53333   -29.163    .04657
    .53333   -28.951    .04513
    .53333   -28.755    .04414
    .53333   -28.345    .05181
    .53333   -27.526    .05652
    .53333   -26.708    .06098
    .53333   -25.889    .06821
    .53333   -25.071    .07273
    .53333   -24.252    .07519
    .53333   -23.434    .07795
    .53333   -21.797    .08039
    .53333   -20.160    .07751
    .53333   -18.523    .06100
    .53333   -17.704    .04852
    .53333   -16.886    .03390
    .53333   -13.569   -.04815
    .53333   -11.687   -.07615
    .53333    -9.804   -.08370
    .53333    -8.167   -.08630
    .53333    -7.348   -.08859
    .53333    -6.530   -.08395
    .53333    -5.711   -.08221
    .53333    -4.893   -.08124
    .53333    -3.256   -.08364
    .53333    -1.619   -.08142
    .53333     -.800   -.08307
    .53333     -.391   -.08696
    .53333      .018   -.08689
    .53333      .427   -.08565
    .53333      .640   -.08554
    .53333      .837   -.08554
    .53333     1.050   -.08705
    .53333     1.246   -.08844
    .53333     1.655   -.08787
    .53333     2.474   -.08364
    .53333     3.292   -.08633
    .53333     4.111   -.08306
    .53333     4.929   -.08074
    .53333     5.748   -.07962
    .53333     6.566   -.07362
    .53333     8.203   -.06273
    .53333     9.840   -.05221
    .59524   -77.801   -.01764
    .59524   -77.392   -.01687
    .59524   -76.983   -.01111
    .59524   -76.573   -.00893
    .59524   -76.360   -.00624
    .59524   -76.164   -.00375
    .59524   -75.951   -.00032
    .59524   -75.755    .00303
    .59524   -75.345    .00378
    .59524   -74.527    .01186
    .59524   -73.708    .02097
    .59524   -72.890    .02841
    .59524   -72.071    .03765
    .59524   -71.253    .04968
    .59524   -70.434    .06387
    .59524   -68.797    .09259
    .59524   -67.160    .11994
    .59524   -65.523    .14872
    .59524   -64.705    .15819
    .59524   -63.886    .16132
    .59524   -60.570    .15686
    .59524   -58.687    .00622
    .59524   -56.805   -.07817
    .59524   -55.168   -.06578
    .59524   -54.349   -.05863
    .59524   -53.531   -.06006
    .59524   -52.712   -.06988
    .59524   -51.893   -.09129
    .59524   -50.256   -.13020
    .59524   -48.619   -.11462
    .59524   -47.801   -.10052
    .59524   -47.392   -.09341
    .59524   -46.982   -.08855
    .59524   -46.573   -.08310
    .59524   -46.360   -.08405
    .59524   -46.164   -.08474
    .59524   -45.951   -.08221
    .59524   -45.755   -.08116
    .59524   -45.345   -.07701
    .59524   -44.527   -.07406
    .59524   -43.708   -.07018
    .59524   -42.889   -.07362
    .59524   -42.071   -.07921
    .59524   -41.252   -.08660
    .59524   -40.434   -.09321
    .59524   -38.797   -.09933
    .59524   -37.160   -.09590
    .59524   -35.523   -.09370
    .59524   -34.705   -.09132
    .59524   -33.886   -.09391
    .59524   -30.570   -.07712
    .59524   -28.687   -.06234
    .59524   -26.804   -.04127
    .59524   -25.167   -.02643
    .59524   -24.349   -.01775
    .59524   -23.530   -.00922
    .59524   -22.712   -.00166
    .59524   -21.893    .00642
    .59524   -20.256    .02695
    .59524   -18.619    .05284
    .59524   -17.800    .06675
    .59524   -17.391    .07714
    .59524   -16.982    .08206
    .59524   -16.573    .08495
    .59524   -16.360    .08816
    .59524   -16.163    .09116
    .59524   -15.951    .09564
    .59524   -15.755    .09937
    .59524   -15.345    .10738
    .59524   -14.526    .12667
    .59524   -13.708    .14168
    .59524   -12.889    .16246
    .59524   -12.071    .18066
    .59524   -11.252    .19500
    .59524   -10.434    .20133
    .59524    -8.797    .18563
    .59524    -7.160    .04128
    .59524    -5.523   -.07785
    .59524    -4.704   -.07919
    .59524    -3.886   -.07537
    .59524     -.569   -.07756
    .59524     1.313   -.11585
    .59524     3.196   -.10666
    .59524     4.833   -.08681
    .59524     5.652   -.07633
    .59524     6.470   -.06897
    .59524     7.289   -.06394
    .59524     8.107   -.06096
    .59524     9.744   -.07178
    .59524    11.381   -.08867
    .59524    12.200   -.09013
    .59524    12.609   -.08838
    .59524    13.018   -.08903
    .59524    13.427   -.09266
    .59524    13.640   -.09176
    .59524    13.837   -.09063
    .59524    14.050   -.08964
    .59524    14.246   -.08889
    .59524    14.655   -.08688
    .59524    15.474   -.08386
    .59524    16.292   -.07931
    .59524    17.111   -.07320
    .59524    17.929   -.07230
    .59524    18.748   -.06847
    .59524    19.566   -.06547
    .59524    21.203   -.05413
    .59524    22.840   -.03658
    .66667   -63.360    .11286
    .66667   -62.951    .11427
    .66667   -62.542    .11708
    .66667   -62.133    .11970
    .66667   -61.920    .12199
    .66667   -61.723    .12456
    .66667   -61.510    .12636
    .66667   -61.314    .12770
    .66667   -60.904    .12912
    .66667   -60.086    .13648
    .66667   -59.267    .14195
    .66667   -58.449    .14725
    .66667   -57.630    .14894
    .66667   -56.812    .15592
    .66667   -55.993    .16253
    .66667   -54.356    .17924
    .66667   -52.719    .18819
    .66667   -51.083    .20751
    .66667   -50.264    .21462
    .66667   -49.446    .21771
    .66667   -46.129    .23925
    .66667   -44.246    .15519
    .66667   -42.364    .06583
    .66667   -40.727    .04825
    .66667   -39.908    .01836
    .66667   -39.090    .00140
    .66667   -38.271    .00424
    .66667   -37.452   -.00071
    .66667   -35.815   -.03242
    .66667   -34.178   -.06060
    .66667   -33.360   -.05843
    .66667   -32.951   -.05231
    .66667   -32.541   -.04725
