     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .00331    .05000    .14694    .39624
    .00745    .05000    .14524    .39239
    .01127    .05000    .14417    .38945
    .01541    .05000    .14621    .38646
    .01923    .05000    .14736    .38361
    .02718    .05000    .14514    .37056
    .04310    .05000    .17451    .35426
    .05901    .05000    .18730    .35439
    .07493    .05000    .20173    .34641
    .09085    .05000    .20832    .34772
    .10676    .05000    .21455    .34547
    .12268    .05000    .22183    .34082
    .15451    .05000    .22712    .32424
    .18634    .05000    .22690    .30106
    .21817    .05000    .21120    .27409
    .23408    .05000    .19366    .28719
    .25000    .05000    .14428    .31591
    .31449    .05000    .13683    .67282
    .35110    .05000    .21131    .57890
    .38770    .05000    .23237    .52437
    .41953    .05000    .22649    .49138
    .43545    .05000    .22112    .48042
    .45136    .05000    .21299    .47061
    .46728    .05000    .20566    .46182
    .48319    .05000    .20201    .45040
    .51502    .05000    .19351    .44321
    .54686    .05000    .18983    .45133
    .56277    .05000    .17424    .45750
    .57073    .05000    .16294    .46107
    .57869    .05000    .16403    .45991
    .58664    .05000    .14874    .46070
    .59078    .05000    .14471    .45695
    .59460    .05000    .14112    .45298
    .59874    .05000    .13197    .44645
    .60256    .05000    .12184    .44008
    .61052    .05000    .12071    .41895
    .62643    .05000    .12640    .39426
    .64235    .05000    .14121    .37640
    .65826    .05000    .15246    .36489
    .67418    .05000    .19399    .36112
    .69009    .05000    .19926    .37265
    .70601    .05000    .20436    .37908
    .73784    .05000    .20081    .39705
    .76967    .05000    .19288    .40860
    .80150    .05000    .18762    .40980
    .81742    .05000    .18563    .40893
    .83333    .05000    .18220    .40926
    .89782    .05000    .17853    .41480
    .93443    .05000    .17958    .41832
    .97103    .05000    .17703    .42239
   1.00286    .05000    .17728    .41456
   1.01878    .05000    .17869    .41075
   1.03470    .05000    .18090    .40628
   1.05061    .05000    .18035    .39852
   1.06653    .05000    .18060    .38846
   1.09836    .05000    .17624    .36457
   1.13019    .05000    .17527    .31306
   1.14610    .05000    .16562    .27575
   1.15406    .05000    .16390    .25232
   1.16202    .05000    .16085    .23572
   1.16998    .05000    .14840    .21819
   1.17412    .05000    .14320    .21030
   1.17793    .05000    .13769    .20689
   1.18207    .05000    .13135    .19574
   1.18589    .05000    .12504    .18359
   1.19385    .05000    .12197    .18605
   1.20977    .05000    .10724    .19391
   1.22568    .05000    .09241    .22506
   1.24160    .05000    .08687    .24978
   1.25751    .05000    .08533    .28534
   1.27343    .05000    .07014    .32280
   1.28934    .05000    .04607    .37260
   1.32117    .05000   -.00990    .54110
   1.35300    .05000    .08385    .61458
   1.38484    .05000    .06451    .62247
   1.40075    .05000    .05142    .62473
   1.41667    .05000    .08196    .60950
   1.48116    .05000    .23243    .43615
   1.51776    .05000    .22211    .42962
   1.55437    .05000    .20718    .42058
   1.58620    .05000    .19901    .41862
   1.60211    .05000    .19999    .41669
   1.61803    .05000    .19946    .41611
   1.63394    .05000    .19942    .41508
   1.64986    .05000    .19661    .41518
   1.68169    .05000    .18686    .41419
   1.71352    .05000    .17881    .40948
   1.72944    .05000    .17930    .41291
   1.73739    .05000    .17306    .41489
   1.74535    .05000    .16968    .42270
   1.75331    .05000    .16200    .42262
   1.75745    .05000    .15768    .41785
   1.76127    .05000    .15327    .41374
   1.76541    .05000    .14465    .41228
   1.76923    .05000    .13554    .41059
   1.77718    .05000    .13181    .38720
   1.79310    .05000    .14309    .36252
   1.80901    .05000    .15624    .36066
   1.82493    .05000    .16657    .35786
   1.84085    .05000    .17466    .37319
   1.85676    .05000    .17505    .37991
   1.87268    .05000    .17449    .38520
   1.90451    .05000    .17515    .39323
   1.93634    .05000    .17619    .39595
   1.96817    .05000    .17451    .40067
   1.98408    .05000    .17333    .40244
   2.00000    .05000    .18026    .38930
    .00331    .07500    .12805    .38233
    .00745    .07500    .12513    .37637
    .01127    .07500    .12193    .37080
    .01541    .07500    .12405    .36750
    .01923    .07500    .12708    .36376
    .02718    .07500    .13382    .35110
    .04310    .07500    .15294    .33255
    .05901    .07500    .17040    .32680
    .07493    .07500    .18553    .32090
    .09085    .07500    .19968    .31445
    .10676    .07500    .20698    .30599
    .12268    .07500    .21354    .29431
    .15451    .07500    .20685    .26104
    .18634    .07500    .14490    .22899
    .21817    .07500    .08885    .28868
    .23408    .07500    .06911    .32448
    .25000    .07500    .03395    .36767
    .31449    .07500    .05680    .68824
    .35110    .07500    .16014    .62275
    .38770    .07500    .22214    .55288
    .41953    .07500    .22931    .50431
    .43545    .07500    .22606    .49009
    .45136    .07500    .22336    .47806
    .46728    .07500    .20764    .47069
    .48319    .07500    .19572    .45938
    .51502    .07500    .18874    .43611
    .54686    .07500    .18300    .43005
    .56277    .07500    .17564    .43539
    .57073    .07500    .16276    .44306
    .57869    .07500    .14744    .44683
    .58664    .07500    .14090    .43775
    .59078    .07500    .13155    .43328
    .59460    .07500    .12273    .42867
    .59874    .07500    .12051    .42491
    .60256    .07500    .11799    .42064
    .61052    .07500    .10602    .40352
    .62643    .07500    .11579    .37393
    .64235    .07500    .12566    .34801
    .65826    .07500    .14460    .33399
    .67418    .07500    .16465    .33034
    .69009    .07500    .17573    .33746
    .70601    .07500    .18398    .34560
    .73784    .07500    .17923    .36113
    .76967    .07500    .17349    .37244
    .80150    .07500    .16347    .37414
    .81742    .07500    .16314    .37452
    .83333    .07500    .16110    .37458
    .89782    .07500    .17018    .39465
    .93443    .07500    .16722    .40119
    .97103    .07500    .16443    .40681
   1.00286    .07500    .16374    .40173
   1.01878    .07500    .16493    .39901
   1.03470    .07500    .16499    .39626
   1.05061    .07500    .16521    .39182
   1.06653    .07500    .16566    .38616
   1.09836    .07500    .16516    .35783
   1.13019    .07500    .16293    .31397
   1.14610    .07500    .15746    .28131
   1.15406    .07500    .15991    .25841
   1.16202    .07500    .15302    .22703
   1.16998    .07500    .14376    .20449
   1.17412    .07500    .13425    .19706
   1.17793    .07500    .12460    .19289
   1.18207    .07500    .11771    .18139
   1.18589    .07500    .10929    .17197
   1.19385    .07500    .09554    .16669
   1.20977    .07500    .06579    .20840
   1.22568    .07500    .06825    .23260
   1.24160    .07500    .07480    .26586
   1.25751    .07500    .06911    .30023
   1.27343    .07500    .04562    .35995
   1.28934    .07500    .00988    .46461
   1.32117    .07500    .07627    .62036
   1.35300    .07500    .13592    .63554
   1.38484    .07500    .10025    .61354
   1.40075    .07500    .10699    .58378
   1.41667    .07500    .12797    .54879
   1.48116    .07500    .23609    .41323
   1.51776    .07500    .22191    .41780
   1.55437    .07500    .19938    .41981
   1.58620    .07500    .18960    .40620
   1.60211    .07500    .18697    .39992
   1.61803    .07500    .18712    .39626
   1.63394    .07500    .18611    .39705
   1.64986    .07500    .18549    .39901
   1.68169    .07500    .17763    .40135
   1.71352    .07500    .17172    .39909
   1.72944    .07500    .16722    .40433
   1.73739    .07500    .16122    .40664
   1.74535    .07500    .14521    .40974
   1.75331    .07500    .14025    .40656
   1.75745    .07500    .13241    .40093
   1.76127    .07500    .12533    .39493
   1.76541    .07500    .12100    .39297
   1.76923    .07500    .11768    .39073
   1.77718    .07500    .11062    .36756
   1.79310    .07500    .12107    .34837
   1.80901    .07500    .13760    .34386
   1.82493    .07500    .14578    .34853
   1.84085    .07500    .15503    .35854
   1.85676    .07500    .15653    .36510
   1.87268    .07500    .15877    .37148
   1.90451    .07500    .15935    .37255
   1.93634    .07500    .15917    .37293
   1.96817    .07500    .16088    .37571
   1.98408    .07500    .16065    .37724
   2.00000    .07500    .16685    .36205
    .00331    .10000    .10429    .34041
    .00745    .10000    .10588    .33533
    .01127    .10000    .10796    .32991
    .01541    .10000    .10782    .32785
    .01923    .10000    .10811    .32618
    .02718    .10000    .11567    .31345
    .04310    .10000    .13748    .29844
    .05901    .10000    .16392    .29162
    .07493    .10000    .18294    .28189
    .09085    .10000    .18706    .28419
    .10676    .10000    .19324    .27620
    .12268    .10000    .19718    .26606
    .15451    .10000    .18950    .22117
    .18634    .10000    .09742    .23118
