     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .03169    .05000    .16144    .40591
    .06352    .05000    .16690    .38605
    .07944    .05000    .16622    .36859
    .08740    .05000    .17523    .35399
    .09535    .05000    .17611    .34628
    .10331    .05000    .17907    .33404
    .10745    .05000    .17868    .32850
    .11127    .05000    .17814    .32386
    .11541    .05000    .18171    .31311
    .11923    .05000    .18524    .30232
    .12718    .05000    .19202    .28852
    .14310    .05000    .20897    .27265
    .15901    .05000    .21703    .25256
    .17493    .05000    .21744    .22849
    .19085    .05000    .19729    .22053
    .20676    .05000    .16717    .22738
    .22268    .05000    .13283    .25359
    .25451    .05000    .05902    .36321
    .28634    .05000   -.05160    .55375
    .31817    .05000   -.03875    .62897
    .33408    .05000   -.05581    .66138
    .35000    .05000   -.06702    .69563
    .41449    .05000    .23358    .46495
    .45110    .05000    .22667    .45078
    .48770    .05000    .20529    .43820
    .51953    .05000    .19441    .43074
    .53545    .05000    .18916    .42891
    .55136    .05000    .19094    .42463
    .56728    .05000    .18906    .42480
    .58319    .05000    .18904    .42428
    .61502    .05000    .18098    .43137
    .64686    .05000    .16635    .43852
    .66277    .05000    .15615    .43861
    .67073    .05000    .14823    .44034
    .67869    .05000    .15421    .43882
    .68664    .05000    .14014    .43998
    .69078    .05000    .13796    .43391
    .69460    .05000    .13518    .42806
    .69874    .05000    .12739    .42337
    .70256    .05000    .12007    .41940
    .71052    .05000    .11918    .39452
    .72643    .05000    .13028    .36784
    .74235    .05000    .15084    .35984
    .75826    .05000    .17199    .35612
    .77418    .05000    .18875    .37289
    .79009    .05000    .18867    .37853
    .80601    .05000    .19346    .38112
    .83784    .05000    .18842    .38950
    .86967    .05000    .18389    .39627
    .90150    .05000    .18351    .39629
    .91742    .05000    .18570    .39632
    .93333    .05000    .18686    .39720
    .99782    .05000    .18825    .40151
   1.03443    .05000    .19081    .39368
   1.07103    .05000    .19858    .37335
   1.10286    .05000    .19865    .34505
   1.11878    .05000    .19506    .32600
   1.13470    .05000    .18764    .30010
   1.15061    .05000    .17242    .26906
   1.16653    .05000    .13727    .25800
   1.19836    .05000    .07974    .28804
   1.23019    .05000    .07590    .32932
   1.24610    .05000    .07447    .34677
   1.25406    .05000    .06784    .35955
   1.26202    .05000    .05754    .38137
   1.26998    .05000    .03208    .40617
   1.27412    .05000    .02606    .41478
   1.27793    .05000    .02585    .42001
   1.28207    .05000    .00444    .43194
   1.28589    .05000   -.01889    .44387
   1.29385    .05000   -.03715    .46063
   1.30977    .05000   -.00933    .48682
   1.32568    .05000    .00973    .52967
   1.34160    .05000    .03605    .59026
   1.35751    .05000    .09071    .58732
   1.37343    .05000    .14213    .59268
   1.38934    .05000    .18549    .58339
   1.42117    .05000    .18311    .58017
   1.45300    .05000    .13676    .56035
   1.48484    .05000    .17461    .50461
   1.50075    .05000    .21087    .47854
   1.51667    .05000    .24241    .46209
   1.58116    .05000    .20557    .41490
   1.61776    .05000    .19711    .40944
   1.65437    .05000    .19488    .40784
   1.68620    .05000    .19176    .41109
   1.70211    .05000    .19004    .41200
   1.71803    .05000    .18445    .41313
   1.73394    .05000    .17975    .41071
   1.74986    .05000    .17320    .40934
   1.78169    .05000    .17047    .41057
   1.81352    .05000    .17626    .41987
   1.82944    .05000    .16916    .43512
   1.83739    .05000    .16353    .43888
   1.84535    .05000    .16045    .44471
   1.85331    .05000    .15059    .44248
   1.85745    .05000    .14484    .43744
   1.86127    .05000    .14040    .43180
   1.86541    .05000    .13798    .42875
   1.86923    .05000    .13368    .42614
   1.87718    .05000    .12470    .40598
   1.89310    .05000    .13918    .38394
   1.90901    .05000    .15086    .38018
   1.92493    .05000    .16341    .37687
   1.94085    .05000    .17158    .38722
   1.95676    .05000    .17417    .38941
   1.97268    .05000    .17547    .39151
    .03169    .07500    .14834    .39168
    .06352    .07500    .14486    .37146
    .07944    .07500    .14936    .36160
    .08740    .07500    .15651    .34838
    .09535    .07500    .15380    .33189
    .10331    .07500    .15511    .31985
    .10745    .07500    .15489    .31224
    .11127    .07500    .15486    .30567
    .11541    .07500    .15962    .29516
    .11923    .07500    .16420    .28460
    .12718    .07500    .16957    .26975
    .14310    .07500    .19062    .23288
    .15901    .07500    .19135    .20721
    .17493    .07500    .16961    .18310
    .19085    .07500    .12801    .20316
    .20676    .07500    .10386    .24344
    .22268    .07500    .09095    .28691
    .25451    .07500    .00194    .44272
    .28634    .07500    .00203    .61553
    .31817    .07500    .04748    .68682
    .33408    .07500    .08521    .68771
    .35000    .07500    .09359    .66743
    .41449    .07500    .23033    .45169
    .45110    .07500    .23116    .43628
    .48770    .07500    .20776    .42866
    .51953    .07500    .19893    .41784
    .53545    .07500    .19333    .41159
    .55136    .07500    .18794    .40498
    .56728    .07500    .18641    .40009
    .58319    .07500    .18711    .39912
    .61502    .07500    .17533    .41043
    .64686    .07500    .15974    .42014
    .66277    .07500    .15119    .42618
    .67073    .07500    .14167    .42961
    .67869    .07500    .12865    .42575
    .68664    .07500    .12154    .41989
    .69078    .07500    .11351    .41469
    .69460    .07500    .10539    .40955
    .69874    .07500    .10537    .40286
    .70256    .07500    .10516    .39627
    .71052    .07500    .09382    .37775
    .72643    .07500    .10802    .34338
    .74235    .07500    .13593    .33202
    .75826    .07500    .15103    .33198
    .77418    .07500    .16559    .34336
    .79009    .07500    .16930    .34857
    .80601    .07500    .17199    .35524
    .83784    .07500    .16421    .36427
    .86967    .07500    .16315    .36678
    .90150    .07500    .16082    .36917
    .91742    .07500    .15918    .37003
    .93333    .07500    .15981    .36945
    .99782    .07500    .17337    .38734
   1.03443    .07500    .17679    .38399
   1.07103    .07500    .17911    .37313
   1.10286    .07500    .18240    .35451
   1.11878    .07500    .18312    .33959
   1.13470    .07500    .18365    .32006
   1.15061    .07500    .17802    .29285
   1.16653    .07500    .15701    .25835
   1.19836    .07500    .08023    .26180
   1.23019    .07500    .06642    .31470
   1.24610    .07500    .07621    .32549
   1.25406    .07500    .07619    .33127
   1.26202    .07500    .05193    .34171
   1.26998    .07500    .03554    .36070
   1.27412    .07500    .04213    .35887
   1.27793    .07500    .05515    .35612
   1.28207    .07500    .02637    .39407
   1.28589    .07500   -.00810    .43410
   1.29385    .07500   -.02582    .46247
   1.30977    .07500   -.04162    .53600
   1.32568    .07500    .02501    .57621
   1.34160    .07500    .06720    .60233
   1.35751    .07500    .14342    .61234
   1.37343    .07500    .18470    .59555
   1.38934    .07500    .21624    .58011
