     Yi/Gi      Z/B      Cr/U2     Cu/U2  
   1.38589    .07500    .06246    .62279
   1.39385    .07500    .07132    .60343
   1.40977    .07500    .13200    .55143
   1.42568    .07500    .16228    .52458
   1.44160    .07500    .19268    .49992
   1.45751    .07500    .20377    .49153
   1.47343    .07500    .19229    .47297
   1.48934    .07500    .18334    .44927
   1.52117    .07500    .19570    .38994
   1.55300    .07500    .21175    .36058
   1.58484    .07500    .21131    .36152
   1.60075    .07500    .20629    .36694
   1.61667    .07500    .19914    .37118
   1.68116    .07500    .17576    .38501
   1.71776    .07500    .17258    .38081
   1.75437    .07500    .17142    .38656
   1.78620    .07500    .16359    .39914
   1.80211    .07500    .16063    .40332
   1.81803    .07500    .15872    .40593
   1.83394    .07500    .15814    .40722
   1.84986    .07500    .16065    .40834
   1.88169    .07500    .15524    .41658
   1.91352    .07500    .14571    .42484
   1.92944    .07500    .14082    .42615
   1.93739    .07500    .13693    .42816
   1.94535    .07500    .12363    .42559
   1.95331    .07500    .12216    .42033
   1.95745    .07500    .11655    .41490
   1.96127    .07500    .11178    .40871
   1.96541    .07500    .11045    .40587
   1.96923    .07500    .10904    .40332
   1.97718    .07500    .11485    .38677
    .00437    .10000    .15662    .36111
    .03620    .10000    .15272    .35788
    .05211    .10000    .15126    .35468
    .06803    .10000    .15470    .34623
    .08394    .10000    .15482    .33695
    .09986    .10000    .15519    .32505
    .13169    .10000    .15721    .28216
    .16352    .10000    .13122    .20345
    .17944    .10000    .08097    .19986
    .18740    .10000    .06393    .21036
    .19535    .10000    .05899    .21891
    .20331    .10000    .05685    .22895
    .20745    .10000    .05763    .23285
    .21127    .10000    .05797    .23606
    .21541    .10000    .05921    .24200
    .21923    .10000    .06055    .24731
    .22718    .10000    .06020    .25327
    .24310    .10000    .04050    .28807
    .25901    .10000   -.01743    .40442
    .27493    .10000   -.02305    .58162
    .29085    .10000    .00051    .65034
    .30676    .10000    .06133    .67177
    .32268    .10000    .10054    .66025
    .35451    .10000    .14727    .61825
    .38634    .10000    .12956    .56692
    .41817    .10000    .12727    .49449
    .43408    .10000    .14878    .45123
    .45000    .10000    .18706    .40515
    .51449    .10000    .20487    .37442
    .55110    .10000    .18652    .37624
    .58770    .10000    .16940    .37370
    .61953    .10000    .16421    .36475
    .63545    .10000    .16551    .36133
    .65136    .10000    .16660    .35915
    .66728    .10000    .16437    .36635
    .68319    .10000    .15990    .37445
    .71502    .10000    .14836    .38075
    .74686    .10000    .13428    .38193
    .76277    .10000    .13078    .38203
    .77073    .10000    .12534    .38008
    .77869    .10000    .11466    .38111
    .78664    .10000    .10948    .37464
    .79078    .10000    .10507    .37028
    .79460    .10000    .09994    .36649
    .79874    .10000    .09736    .36081
    .80256    .10000    .09538    .35513
    .81052    .10000    .09186    .33806
    .82643    .10000    .10709    .31795
    .84235    .10000    .12256    .30203
    .85826    .10000    .13900    .30367
    .87418    .10000    .14714    .31310
