     R/R2    Teta(deg)    Cp    
    .53333   -90.446   -.02492
    .53333   -88.809   -.01168
    .53333   -87.990   -.00300
    .53333   -87.172    .00574
    .53333   -83.856    .04074
    .53333   -81.973    .06226
    .53333   -80.090    .07836
    .53333   -78.453    .08793
    .53333   -77.635    .09152
    .53333   -76.816    .09310
    .53333   -75.998    .09627
    .53333   -75.179    .09755
    .53333   -73.542    .10062
    .53333   -71.905    .08534
    .53333   -71.087    .07794
    .53333   -70.677    .07043
    .53333   -70.268    .06330
    .53333   -69.859    .05551
    .53333   -69.646    .05013
    .53333   -69.450    .04494
    .53333   -69.237    .04324
    .53333   -69.040    .04193
    .53333   -68.631    .03415
    .53333   -67.813    .00330
    .53333   -66.994   -.01705
    .53333   -66.175   -.03511
    .53333   -65.357   -.05057
    .53333   -64.538   -.06671
    .53333   -63.720   -.07793
    .53333   -62.083   -.08448
    .53333   -60.446   -.08850
    .53333   -58.809   -.08575
    .53333   -57.990   -.08421
    .53333   -57.172   -.08383
    .53333   -53.855   -.08727
    .53333   -51.973   -.08718
    .53333   -50.090   -.09461
    .53333   -48.453   -.09803
    .53333   -47.635   -.09922
    .53333   -46.816   -.09743
    .53333   -45.998   -.09313
    .53333   -45.179   -.08890
    .53333   -43.542   -.07482
    .53333   -41.905   -.06922
    .53333   -41.086   -.06273
    .53333   -40.677   -.05984
    .53333   -40.268   -.05910
    .53333   -39.859   -.05720
    .53333   -39.646   -.05691
    .53333   -39.449   -.05689
    .53333   -39.236   -.05481
    .53333   -39.040   -.05273
    .53333   -38.631   -.05136
    .53333   -37.812   -.04216
    .53333   -36.994   -.03391
    .53333   -36.175   -.02865
    .53333   -35.357   -.02190
    .53333   -34.538   -.01057
    .53333   -33.719    .00078
    .53333   -32.082    .01700
    .53333   -30.445    .03195
    .53333   -28.809    .04669
    .53333   -27.990    .05176
    .53333   -27.172    .05506
    .53333   -23.855    .06911
    .53333   -21.973    .07366
    .53333   -20.090    .06846
    .53333   -18.453    .05085
    .53333   -17.634    .03822
    .53333   -16.816    .02010
    .53333   -15.997   -.00142
    .53333   -15.179   -.02395
    .53333   -13.542   -.05898
    .53333   -11.905   -.08587
    .53333   -11.086   -.09194
    .53333   -10.677   -.09301
    .53333   -10.268   -.09490
    .53333    -9.858   -.09454
    .53333    -9.646   -.09612
    .53333    -9.449   -.09793
    .53333    -9.236   -.09637
    .53333    -9.040   -.09319
    .53333    -8.630   -.09673
    .53333    -7.812   -.09816
    .53333    -6.993   -.09684
    .53333    -6.175   -.09506
    .53333    -5.356   -.09249
    .53333    -4.538   -.09021
    .53333    -3.719   -.08945
    .53333    -2.082   -.09328
    .53333     -.445   -.09277
    .53333     1.192   -.09444
    .53333     2.010   -.09417
    .53333     2.829   -.09404
    .59524   -77.446   -.00623
    .59524   -75.809    .01486
    .59524   -74.990    .02475
    .59524   -74.172    .03361
    .59524   -70.856    .07926
    .59524   -68.973    .11174
    .59524   -67.090    .14150
    .59524   -65.453    .17308
    .59524   -64.635    .18751
    .59524   -63.816    .19763
    .59524   -62.998    .20580
    .59524   -62.179    .20988
    .59524   -60.542    .17405
    .59524   -58.905    .02775
    .59524   -58.087   -.03599
    .59524   -57.677   -.05187
    .59524   -57.268   -.05504
    .59524   -56.859   -.06596
    .59524   -56.646   -.06639
    .59524   -56.450   -.06509
    .59524   -56.237   -.06434
    .59524   -56.040   -.06353
    .59524   -55.631   -.06311
    .59524   -54.813   -.05609
    .59524   -53.994   -.05196
    .59524   -53.175   -.05850
    .59524   -52.357   -.07763
    .59524   -51.538   -.10100
    .59524   -50.720   -.12226
    .59524   -49.083   -.12746
    .59524   -47.446   -.10582
    .59524   -45.809   -.08491
    .59524   -44.990   -.07761
    .59524   -44.172   -.07596
    .59524   -40.855   -.09551
    .59524   -38.973   -.10200
    .59524   -37.090   -.10246
    .59524   -35.453   -.10083
    .59524   -34.635   -.10159
    .59524   -33.816   -.10167
    .59524   -32.998   -.09765
    .59524   -32.179   -.09389
    .59524   -30.542   -.08841
    .59524   -28.905   -.06866
    .59524   -28.086   -.06416
    .59524   -27.677   -.05918
    .59524   -27.268   -.05488
    .59524   -26.859   -.05129
    .59524   -26.646   -.04935
    .59524   -26.449   -.04752
    .59524   -26.236   -.04553
    .59524   -26.040   -.04338
    .59524   -25.631   -.03769
    .59524   -24.812   -.02967
    .59524   -23.994   -.02156
    .59524   -23.175   -.01546
    .59524   -22.357   -.00624
    .59524   -21.538   -.00051
    .59524   -20.719    .00758
    .59524   -19.082    .02991
    .59524   -17.445    .05703
    .59524   -15.809    .08628
    .59524   -14.990    .10240
    .59524   -14.172    .11883
    .59524   -10.855    .17980
    .59524    -8.973    .16282
    .59524    -7.090   -.00937
    .59524    -5.453   -.10334
    .59524    -4.634   -.09616
    .59524    -3.816   -.09008
    .59524    -2.997   -.08639
    .59524    -2.179   -.08186
    .59524     -.542   -.10050
    .59524     1.095   -.12679
    .59524     1.914   -.13248
    .59524     2.323   -.12758
    .59524     2.732   -.12524
    .59524     3.142   -.12360
    .59524     3.354   -.12146
    .59524     3.551   -.11868
    .59524     3.764   -.11447
    .59524     3.960   -.11068
    .59524     4.370   -.10846
    .59524     5.188   -.09451
    .59524     6.007   -.08762
    .59524     6.825   -.07876
    .59524     7.644   -.07127
    .59524     8.462   -.07286
    .59524     9.281   -.07720
    .59524    10.918   -.09801
    .59524    12.555   -.10114
    .59524    14.192   -.09912
    .59524    15.010   -.09609
    .59524    15.829   -.09031
    .66667   -63.005    .13974
    .66667   -61.368    .15688
    .66667   -60.550    .16260
    .66667   -59.731    .16611
    .66667   -56.415    .18740
    .66667   -54.532    .20622
    .66667   -52.650    .22025
    .66667   -51.013    .23810
    .66667   -50.194    .24685
    .66667   -49.376    .25505
    .66667   -48.557    .26331
    .66667   -47.738    .27039
    .66667   -46.101    .27085
    .66667   -44.464    .17268
    .66667   -43.646    .11939
    .66667   -43.236    .09834
    .66667   -42.827    .08435
    .66667   -42.418    .07726
    .66667   -42.205    .07383
    .66667   -42.009    .07140
    .66667   -41.796    .06804
    .66667   -41.600    .06454
    .66667   -41.190    .05813
    .66667   -40.372    .04117
    .66667   -39.553    .00583
    .66667   -38.734    .01113
    .66667   -37.916    .00879
    .66667   -37.097   -.00103
    .66667   -36.279   -.02026
    .66667   -34.642   -.06230
    .66667   -33.005   -.06911
    .66667   -31.368   -.05033
    .66667   -30.549   -.04206
    .66667   -29.731   -.03170
    .66667   -26.415   -.00032
    .66667   -24.532    .01010
    .66667   -22.649    .01608
    .66667   -21.012    .03134
    .66667   -20.194    .03750
    .66667   -19.375    .04347
    .66667   -18.557    .04552
    .66667   -17.738    .04783
    .66667   -16.101    .05810
    .66667   -14.464    .06916
    .66667   -13.645    .07350
    .66667   -13.236    .07941
    .66667   -12.827    .07870
    .66667   -12.418    .08222
    .66667   -12.205    .08334
    .66667   -12.008    .08455
    .66667   -11.795    .08617
    .66667   -11.599    .08771
    .66667   -11.190    .09085
    .66667   -10.371    .10307
    .66667    -9.553    .10694
    .66667    -8.734    .11791
    .66667    -7.916    .11916
    .66667    -7.097    .12236
    .66667    -6.279    .12565
    .66667    -4.642    .13550
    .66667    -3.005    .14900
    .66667    -1.368    .16558
    .66667     -.549    .17604
    .66667      .269    .18441
    .66667     3.586    .23427
    .66667     5.468    .24115
    .66667     7.351    .16841
    .66667     8.988    .09122
    .66667     9.807    .07278
    .66667    10.625    .05395
    .66667    11.444    .02731
    .66667    12.262    .01756
    .66667    13.899   -.00629
    .66667    15.536   -.05091
    .66667    16.355   -.06348
    .66667    16.764   -.06425
    .66667    17.173   -.06619
    .66667    17.582   -.06594
    .66667    17.795   -.06500
    .66667    17.992   -.06355
    .66667    18.205   -.06207
    .66667    18.401   -.06033
    .66667    18.811   -.05632
    .66667    19.629   -.04713
    .66667    20.448   -.03501
    .66667    21.266   -.02025
    .66667    22.085   -.00521
    .66667    22.903    .00592
    .66667    23.721    .01993
    .66667    25.358    .02573
    .66667    26.995    .03537
    .66667    28.632    .04361
    .66667    29.451    .04950
    .66667    30.269    .05713
