     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .03116    .05000    .20245    .39112
    .06776    .05000    .20662    .37397
    .10437    .05000    .21015    .34158
    .13620    .05000    .19852    .29693
    .15211    .05000    .17200    .26834
    .16803    .05000    .13203    .27554
    .18394    .05000    .09914    .30686
    .19986    .05000    .08295    .34017
    .23169    .05000    .06190    .40293
    .26352    .05000   -.01205    .55383
    .27944    .05000   -.01833    .63850
    .28740    .05000   -.00826    .65337
    .29535    .05000    .00959    .68268
    .30331    .05000    .00478    .69727
    .30745    .05000    .02557    .70410
    .31127    .05000    .04579    .71191
    .31541    .05000    .04610    .70392
    .31923    .05000    .04431    .69496
    .32718    .05000    .04594    .68589
    .34310    .05000    .11714    .66308
    .35901    .05000    .16819    .62941
    .37493    .05000    .16903    .58650
    .39085    .05000    .19937    .56336
    .40676    .05000    .20671    .54487
    .42268    .05000    .21621    .53076
    .45451    .05000    .20321    .49321
    .48634    .05000    .18968    .45506
    .51817    .05000    .22206    .42904
    .53408    .05000    .23814    .42414
    .55000    .05000    .25095    .42335
    .61449    .05000    .18427    .41847
    .65110    .05000    .17840    .41664
    .68770    .05000    .18649    .41718
    .71953    .05000    .18058    .42500
    .73545    .05000    .17873    .42716
    .75136    .05000    .17685    .42864
    .76728    .05000    .17261    .42464
    .78319    .05000    .16863    .42149
    .81502    .05000    .16876    .41876
    .84686    .05000    .16684    .41935
    .86277    .05000    .15404    .42636
    .87073    .05000    .15063    .42673
    .87869    .05000    .15467    .42739
    .88664    .05000    .14711    .42561
    .89078    .05000    .14197    .42045
    .89460    .05000    .13756    .41518
    .89874    .05000    .13419    .41273
    .90256    .05000    .13132    .40982
    .91052    .05000    .12370    .39193
    .92643    .05000    .14442    .37523
    .94235    .05000    .15877    .37132
    .95826    .05000    .17296    .36810
    .97418    .05000    .17901    .37276
    .99009    .05000    .18136    .37642
   1.00601    .05000    .18682    .37719
   1.03784    .05000    .19163    .38109
   1.06967    .05000    .19474    .38334
   1.10150    .05000    .20467    .37601
   1.11742    .05000    .20904    .37042
   1.13333    .05000    .21285    .36496
   1.19782    .05000    .08492    .33080
   1.23443    .05000    .05447    .41770
   1.27103    .05000    .01138    .58321
   1.30286    .05000    .09155    .64929
   1.31878    .05000    .14828    .65140
   1.33470    .05000    .19495    .63717
   1.35061    .05000    .21707    .62592
   1.36653    .05000    .21669    .62189
   1.39836    .05000    .14817    .62232
   1.43019    .05000    .13895    .57799
   1.44610    .05000    .16245    .55118
   1.45406    .05000    .16259    .54295
   1.46202    .05000    .17804    .52987
   1.46998    .05000    .16785    .52528
   1.47412    .05000    .16394    .51790
   1.47793    .05000    .15819    .51145
   1.48207    .05000    .15938    .50114
   1.48589    .05000    .15940    .49116
   1.49385    .05000    .16315    .47204
