     R/R2    Teta(deg)    Cp    
    .66667   -37.684    .00264
    .66667   -37.275   -.00576
    .66667   -37.062   -.00875
    .66667   -36.866   -.01290
    .66667   -36.653   -.01893
    .66667   -36.457   -.02442
    .66667   -36.047   -.03637
    .66667   -35.229   -.05531
    .66667   -34.410   -.07208
    .66667   -33.591   -.07347
    .66667   -32.773   -.06668
    .66667   -31.955   -.05876
    .66667   -31.136   -.05059
    .66667   -29.499   -.02913
    .66667   -27.862   -.00904
    .66667   -26.225    .00515
    .66667   -25.407    .00840
    .66667   -24.588    .01257
    .66667   -21.272    .02618
    .66667   -19.389    .04157
    .66667   -17.506    .04499
    .66667   -15.869    .05622
    .66667   -15.051    .05857
    .66667   -14.232    .06151
    .66667   -13.414    .06741
    .66667   -12.595    .07134
    .66667   -10.958    .08421
    .66667    -9.321    .10094
    .66667    -8.502    .10757
    .66667    -8.094    .10978
    .66667    -7.684    .10841
    .66667    -7.275    .11164
    .66667    -7.062    .11287
    .66667    -6.865    .11376
    .66667    -6.653    .11467
    .66667    -6.457    .11528
    .66667    -6.047    .11676
    .66667    -5.228    .12533
    .66667    -4.410    .13441
    .66667    -3.591    .13788
    .66667    -2.773    .14357
    .66667    -1.954    .15569
    .66667    -1.136    .16630
    .66667      .501    .18949
    .66667     2.138    .21256
    .66667     3.775    .23546
    .66667     4.594    .24055
    .66667     5.412    .24053
    .66667     8.729    .10651
    .66667    10.611    .06480
    .66667    12.494    .03216
    .66667    14.131   -.00117
    .66667    14.950   -.01854
    .66667    15.768   -.04020
    .66667    16.587   -.04982
    .66667    17.405   -.05027
    .66667    19.042   -.04221
    .66667    20.679   -.01618
    .66667    21.498   -.00007
    .66667    21.907    .00687
    .66667    22.316    .00887
    .66667    22.725    .01479
    .66667    22.938    .01619
    .66667    23.135    .01739
    .66667    23.348    .02042
    .66667    23.544    .02251
    .66667    23.953    .02681
    .66667    24.772    .03056
    .66667    25.590    .03882
    .66667    26.409    .03911
    .66667    27.227    .04346
    .66667    28.046    .04928
    .66667    28.864    .05584
    .66667    30.501    .06720
    .66667    32.138    .07586
    .66667    33.775    .08581
    .66667    34.594    .08949
    .66667    35.412    .09442
    .73810   -48.550    .27546
    .73810   -46.913    .29634
    .73810   -46.094    .30506
    .73810   -45.685    .31115
    .73810   -45.276    .31514
    .73810   -44.866    .32079
    .73810   -44.653    .32334
    .73810   -44.457    .32608
    .73810   -44.244    .32788
    .73810   -44.048    .33014
    .73810   -43.639    .34012
    .73810   -42.820    .35464
    .73810   -42.002    .36498
    .73810   -41.183    .38035
    .73810   -40.364    .39468
    .73810   -39.546    .41067
    .73810   -38.727    .42588
    .73810   -37.090    .42149
    .73810   -35.453    .41789
    .73810   -33.816    .38574
    .73810   -32.998    .34195
    .73810   -32.179    .28206
    .73810   -28.863    .16768
    .73810   -26.980    .12713
    .73810   -25.097    .07088
    .73810   -23.460    .01328
    .73810   -22.642    .00112
    .73810   -21.823    .00167
    .73810   -21.005    .01780
    .73810   -20.187    .03679
    .73810   -18.550    .08301
    .73810   -16.913    .11886
    .73810   -16.094    .13198
    .73810   -15.684    .13653
    .73810   -15.275    .14012
    .73810   -14.866    .14500
    .73810   -14.653    .14571
    .73810   -14.457    .14628
    .73810   -14.244    .14666
    .73810   -14.047    .14678
    .73810   -13.638    .14514
    .73810   -12.820    .14876
    .73810   -12.001    .15327
    .73810   -11.183    .16095
    .73810   -10.364    .16097
    .73810    -9.546    .16687
    .73810    -8.727    .16905
    .73810    -7.090    .17171
    .73810    -5.453    .16169
    .73810    -3.816    .16488
    .73810    -2.997    .16528
    .73810    -2.179    .16665
    .73810     1.137    .20354
    .73810     3.020    .23094
    .73810     4.903    .24013
    .73810     6.540    .26536
    .73810     7.358    .27535
    .73810     8.177    .28734
    .73810     8.995    .30340
    .73810     9.814    .31656
    .73810    11.451    .35257
    .73810    13.088    .38039
    .73810    13.906    .39211
    .73810    14.316    .39696
    .73810    14.725    .40102
    .73810    15.134    .40495
    .73810    15.347    .40676
    .73810    15.543    .40779
    .73810    15.756    .40801
    .73810    15.953    .40798
    .73810    16.362    .41262
    .73810    17.181    .40853
    .73810    17.999    .40742
    .73810    18.818    .38941
    .73810    19.636    .33720
    .73810    20.455    .27247
    .73810    21.273    .22064
    .73810    22.910    .18949
    .73810    24.547    .14767
    .73810    26.184    .12366
    .73810    27.003    .10630
    .73810    27.821    .08616
    .73810    31.138    .04638
    .73810    33.020    .08550
    .73810    34.903    .13365
    .73810    36.540    .16096
    .73810    37.358    .16998
    .73810    38.177    .17575
    .73810    38.995    .18097
    .73810    39.814    .18536
    .73810    41.451    .19138
